"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"CAPACIDADE DE LUGARES";"LINGUAS"
"CPMIX COMERCIO DE ALIMENTOS LTDA EPP";"GIRAFFAS";"07.617.498/0001-85";"Sociedade Empresária";"04/10/2005";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";71200970;"DF";"Guará";"Zona Industrial";" SIA SUL TRECHO 16 LOTE 05 BLOCO A LOJA 05";"(61) 3362-8253";"";"jomarmrs@gmail.com";"";"";"07.045136.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";120;"(""Nenhuma das Opções"")"
"CREPERIA LA COQUILLE LTDA - ME";"PANCHO CHILLI GRILL MEXICANO E LA COQUILLE CREPERIA";"06.927.458/0001-77";"Sociedade Empresária";"30/07/2004";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";88215000;"SC";"Bombinhas";"Bombinhas";"VER MANOEL DOS SANTOS 450";"(47) 3366-5950";"";"leila@ewlbrindes.com.br";"";"";"24.035070.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";0;"(""Francês,Inglês,Espanhol"")"
"CREUSA AP. RAMALHO CARINTA & CIA LTDA ME";"RESTAURANTE E PIZZARIA SAN PIETRO";"38.951.141/0001-62";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";13930000;"SP";"Serra Negra";"Serra Negra";"RUA PRUDENTE DE MORAES, 63";"(19) 3892-5254";"";"";"";"";"26.039480.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"CRISANTO STOFFEL ME";"CRISANTO STOFFEL";"83.681.239/0001-00";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";89885000;"SC";"São Carlos";"São Carlos";"AV. SANTA CATARINA, 883";"(49) 3325-4338";"";"";"";"";"24.038059.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Alemão,Inglês,Italiano"")"
"CRISLU RESTAURANTE E CONVENIÊNCIA LTDA";"VILLA DAS PEDRAS RESTAURANTE";"00.979.876/0001-21";"Sociedade Empresária";"07/11/1995";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";45428000;"BA";"Morro de São Paulo";"Morro de São Paulo (Cairu) - Distrito";"SEGUNDA PRAIA, S/N";"(75) 3652-1075";"";"";"";"WWW.VILLADASPEDRAS.COM.BR";"05.036929.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"CRISTALO DOCES E ALIMENTOS FINOS LTDA";"LECADÔ";"68.758.457/0001-01";"Sociedade Empresária";"03/02/1993";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";22631004;"RJ";"Rio de Janeiro";"BARRA DA TIJUCA";"AV DAS AMÉRICAS 4666 LJA 210 A";"(21) 3879-9006";"";"gustavo@lecado.com.br";"";"WWW.LECADO.COM.BR";"19.038043.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";10;"(""Nenhuma das Opções"")"
"CRISTIAN GOMES SOARES ";"CRISTIAN'S BAR E RESTAURANTE ";"11.841.915/0001-46";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";69736000;"AM";"Balbina";"Balbina";"RUA PARU CASA 02 BAIRRO WAIMIRI";"(92) 3321-1177";"(92) 8817-0782";"";"";"";"03.038698.15.0001-2";"5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário)";;"("""")"
"CRISTIANO TEODORO EMMEL - ME";"LADY CONFEITARIA";"11.294.017/0001-15";"Sociedade Empresária";"16/11/2009";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";85980000;"PR";"Guaíra";"Guaíra";"AV. CEL OTAVIO TOSTA, 202";"(45) 3642-2451";"(45) 3642-6830";"";"";"";"18.033807.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"CRISTOVÃO GUERRA FILHO";"RESTAURANTE ESTALEIRO NORTH";"09.033.229/0001-05";"Sociedade Empresária";"09/10/2007";"Médio Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";60450080;"CE";"Fortaleza";"Parquelândia";"RUA MOREIRA DE SOUSA, 100";"(85) 3287-5281";"(85) 3287-5281";"";"";"";"06.033386.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Inglês)"
"CROISSANTERIE ALIMENTAÇÃO LTDA - ME";"CROISSANTERIE";"26.463.976/0001-94";"Sociedade Empresária";"17/01/1991";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";70874520;"DF";"Brasília";"Asa Norte";"SHCN 215 BLOCO B LOJA 21";"(61) 3965-7711";"";"lbassul@ig.com.br";"chicapassos@ig.com.br";"WWW.CROISSANTERIE.COM.BR";"07.033245.15.0001-1";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";70;"(""Nenhuma das Opções"")"
"CRP CHURRASCARIA E COZINHA INDUSTRIAL LTDA EPP";"CHURRASCARIA ATALIBA";"85.364.602/0001-80";"Sociedade Empresária";"04/08/1992";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";88025220;"SC";"Florianópolis";"Agronômica";"SERVIDÃO NSA. SENHORA DE LOURDES S/Nº";"(48) 3333-0990";"(48) 3333-0990";"";"";"WWW.CHURRASCARIASATALIBA.COM.BR";"24.037122.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"CRUZ LANCHONETE E RESTAURANTE LTDA ME";"CENTER LANCHES";"83.800.979/0001-00";"Sociedade Empresária";"01/06/1979";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";88015100;"SC";"Florianópolis";"Centro";"AV. OSMAR CUNHA, 183";"(48) 3223-7099";"";"";"";"";"24.037797.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"CS BAR E RESTAURANTE LTDA";"BOTECO";"09.531.254/0001-00";"Sociedade Empresária";"02/10/2008";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";70255540;"DF";"Brasília";"Asa Sul";"STSHC/SUL QUADRA 406 BLOCO D LOJA 35";"(XX) 3443-4344";"";"";"";"";"07.041524.15.0001-2";"5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";;"("""")"
"CS RESTAURANTE LTDA-ME";"PEIXADA DO IRMÃO";"07.853.360/0001-85";"Sociedade Empresária";"24/01/2006";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";29200730;"ES";"Guarapari";"Parque da Areia Preta";"RUA JACINTO DE ALMEIDA, PARQUE AREIA PRETA";"(27) 3261-0403";"(27) 3361-0162";"";"";"WWW.HOTELDOIRMAO.COM.BR";"08.037598.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"CTRX COMERCIO DE ALIMENTOS E BEBIDAS LTDA";"CTRX COMERCIO DE ALIMENTOS E BEBIDAS";"13.928.041/0001-94";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";70278510;"DF";"Brasília";"Asa Sul";"CLS 412 BLOCO A LOJA 27";"(61) 3346-2783";"";"";"";"www.loverestaurante.com.br";"07.043986.15.0001-6";"5611-2/01-RESTAURANTE COM SERVIÇO COMPLETO
 (Primário)";;"(Espanhol)"
"CUITE COZINHA VEGETARIANA LTDA";"VEGETARIANO SOCIAL CLUBE";"04.320.166/0001-46";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";22430200;"RJ";"Rio de Janeiro";"Leblon";"RUA CONDE BERNADOTE, 26 LOJA C";"(21) 2294-5200";"";"";"";"www.vegetarianosocialclube.com.br";"19.038909.15.0001-0";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"(Japonês)"
"CULAU & MEZACASA LTDA";"CHURRASCARIA LAÇO DE OURO";"97.380.547/0001-00";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79300002;"MS";"Corumbá";"Centro";"RUA FREI MARIANO, 556 CASA";"(67) 3231-7371";"";"age0014@bb.com.br";"";"";"12.045194.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";300;"(""Inglês,Espanhol"")"
"CUNHA E VIEIRA LTDA";"CHAPOLIN LANCHES";"10.827.245/0001-40";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";78360000;"MT";"Campo Novo do Parecis";"Campo Novo do Parecis";"AV. ARGEU AUGUSTO DE MORAES";"(65) 9953-7778";"(65) 3326-8425";"";"";"";"13.038216.15.0001-6";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";;"("""")"
"CURY E CIPOLINA LTDA";"CURY & CIPOLINA LOUNGE CAFÉ";"08.782.155/0001-39";"Sociedade Empresária";"01/07/2009";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";89150000;"SC";"Presidente Getúlio";"Presidente Getúlio";"RUA HENRIQUE FUERBRINGER, 317";"(47) 3352-1806";"";"";"";"";"24.037000.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Inglês)"
"CUSTODIO PEREIRA DE CARVALHO";"CUSTODIO PEREIRA DE CARVALHO";"21.864.723/0001-09";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";37200000;"MG";"Lavras";"Lavras";"RUA MELO VIANA,180";"(35) 3822-2620";"";"";"";"";"11.043405.15.0001-0";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"(Inglês)"
"CZUBA E SANTOS LTDA-ME";"BOOM   CAFE";"00.958.917/0001-01";"Sociedade Empresária";"09/06/1997";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";28950000;"RJ";"Armação dos Búzios";"Armação dos Búzios";"RUA MANOEL TURIBIO DE FARIAS, Nº 110";"(22) 2623-6254";"";"adm@boombuzios.com.br";"";"WWW.BOOMBUZIOS.COM.BR";"19.037127.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";160;"(""Inglês,Espanhol"")"
"D'GRAÇA BAR E RESTAURANTE LTDA EPP";"CASARRARA";"03.953.396/0001-80";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";40252390;"BA";"Salvador";"Cosme de Farias";"AV. MARIO LEAL FERREIRA, 300/LJ 09";"(71) 3322-0006";"";"rafael@casarrara.com.br";"";"www.casarrara.com.br";"05.041321.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";180;"("""")"
"D & D SABORES LTDA EPP";"RESTAURANTE DIVINA COMIDA";"03.676.504/0001-14";"Sociedade Empresária";"01/04/2000";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";66033770;"PA";"Belém";"Batista Campos";"AVENIDA SERZEDELO CORRÊA, 168";"(91) 3222-4045";"(91) 3222-4045";"";"";"WWW.DIVINACOMIDA.COM.BR";"14.035147.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"D M BAR E RESTAURANTE LTDA - ME";"RESTAURANTE CARRO DE BOI";"08.543.518/0001-83";"Sociedade Empresária";"19/06/2007";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";41820021;"BA";"Salvador";"Caminho das Árvores";"AV. TANC. NEVES, 2915, SALVADOR SHOPPING";"(71) 3878-1311";"";"";"";"";"05.036904.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"D M S BAR E RESTAURANTE LTDA";"PARADA OBRIGATÓRIA RESTAURANTE";"10.569.076/0001-96";"Sociedade Empresária";"05/01/2009";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";59090100;"RN";"Natal";"Ponta Negra";"AVENIDA ERIVAN FRANÇA, 20";"(84) 3236-3064";"";"";"";"WWW.PARADAOBRIGATÓRANATAL.COM.BR";"20.037635.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Alemão,Inglês"")"
"D&A REFEIÇOES LTDA";"RESTAURANTE BOTAFOGO";"05.823.857/0001-25";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";95700000;"RS";"Bento Gonçalves";"Bento Gonçalves";"RUA FORTALEZA N  380";"(54) 3453-3258";"";"adm@restaurantebotafogo.com.br";"compras@restaurantebotafogo.com.br";"www.restaurantebotafogo.com.br";"23.039343.15.0001-4";"5611-2/01-A PESO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário)";;"(Italiano)"
"D. A. DOS SANTOS RESTAURANTE";"CESAR GRILL RESTAURANTE";"11.334.169/0001-02";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";76330000;"GO";"Jaraguá";"Jaraguá";"PRACA SILVIO DE CASTRO RIBEIRO";"(62) 3326-5834";"(62) 3326-5834";"alexcouto90@hotmail.com";"";"";"09.043248.15.0001-0";"5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário)";;"("""")"
"D. ELIAS PIZZARIA ME";"PIZZARIA DA VILA";"09.007.016/0001-09";"Sociedade Empresária";"11/02/2008";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";27313280;"RJ";"Barra Mansa";"Vila Maria";"RUA ANTONIO GRACIANO DA ROCHA, 279";"(24) 3324-4340";"(24) 3326-7705";"";"";"";"19.037645.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"D. NICOLAU DA SILVA - ME";"PIZZARIA DO BANHA";"04.022.438/0001-21";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";87890000;"PR";"Terra Rica";"Terra Rica";"AVENIDA SÃO PAULO, 1087";"(44) 3441-2065";"";"";"";"";"18.041427.15.0001-1";"5611-2/03-PIZZARIA (TIPO FAST-FOOD); SERVIÇO DE ALIMENTAÇÃO (Primário)";;"(Espanhol)"
"D.C DE OLIVEIRA - ME";"MC DAVES";"63.655.609/0001-19";"Sociedade Empresária";"29/07/1991";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69151000;"AM";"Parintins";"Centro";"AV. AMAZONAS NR 1943";"(92) 3533-6000";"(92) 3633-6000";"";"";"";"03.036365.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Inglês)"
"D.C. DA SILVA JUNIOR - ME";"D.C. DA SILVA JUNIOR - ME";"08.756.568/0001-49";"Sociedade Empresária";"16/03/2007";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";13930000;"SP";"Serra Negra";"Serra Negra";"RUA NELSON BRUSCHINI, Nº 60";"(19) 3892-2945";"";"";"";"";"26.037202.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"D.F. RESTAURANTE JOAÇABA LTDA ME";"RESTAURANTE SABOR DO VALE";"01.519.072/0001-02";"Sociedade Empresária";"01/11/1996";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";89600000;"SC";"Joaçaba";"Joaçaba";"AV XV DE NOVEMBRO, 319";"(49) 3522-3562";"";"";"";"";"24.036183.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"D.R.I. LANCHONETE LTDA ME";"LANCHONETE RECANTO DO SOL";"09.554.826/0001-77";"Sociedade Empresária";"09/05/2008";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";88047630;"SC";"Florianópolis";"Carianos";"RUA SAUL SILVEIRA PENHA, 175";"(48) 3879-1039";"";"";"";"";"24.037271.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"DACOREGIO E PALHANO LTDA ME";"RESTAURANTE VIKING'S LTDA ME";"10.269.556/0001-31";"Sociedade Empresária";"15/08/2008";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";88330009;"SC";"Balneário Camboriú";"Centro";"AV ATLÂNTICA, 1506";"(47) 3264-3382";"";"";"";"";"24.037075.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"DAI NI SEIKI ALIMENTOS E UTENSILIOS LTDA";"KOTOBRIK";"04.111.090/0001-49";"Sociedade Empresária";"11/10/2000";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";22793081;"RJ";"Rio de Janeiro";"BARRA DA TIJUCA";"AV. DAS AMÉRICAS, Nº 7777 LOJA 311";"(21) 3328-8844";"(21) 3328-8844";"";"";"WWW.KOTOBUKI.COM.BR";"19.037902.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Inglês)"
"DAIANA PEREIRA FREITAS DE ALMEIDA";"SÓ FILE LANCHES E BEBIDAS";"08.777.472/0001-67";"Sociedade Empresária";"01/04/2007";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";96415200;"RS";"Bagé";"Estrela D'Alva";"RUA PADRE ABÍLIO SPONCHIADO, 1944/01";"(53) 3241-7878";"";"";"";"";"23.036524.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"DAIHA DUARTE DOCERIA LTDA";"VIVA GULA";"08.753.167/0001-35";"Sociedade Empresária";"12/03/2007";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";41820021;"BA";"Salvador";"Caminho das Árvores";"AVENIDA TANCREDO NEVES, 148, SALVADOR SHOPPING,";"(XX) 3443-1315";"";"";"";"WWW.VIVAGULA.COM.BR";"05.036939.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"DAKAR POINT SUPER LANCHES LTDA";"DAKAR POINT SUPER LANCHES LTDA";"06.341.113/0001-37";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";18090060;"SP";"Sorocaba";"Jardim Santa Rosália";"RUA PORPHYRIO LOUREIRO,  103";"(11) 2797-7262";"(11) 2797-7266";"";"";"";"26.038703.15.0001-1";"5611-2/03-ALIMENTAÇÃO SEM SERVIÇO COMPLETO; SERVIÇO DE (Primário), 5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"("""")"
"DAL CAROBO & CIA LTDA ME";"CHURASCARIA DAL CAROBO";"12.839.456/0001-29";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78579000;"MT";"Itanhangá";"Itanhangá";"AV:DEPUTADO JOSÉ GERALDO RIVA, S/N";"(66) 8445-9366";"(66) 8422-3252";"churrascariadalcarobo@gmail.com";"";"";"13.041690.15.0001-7";"5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário), 5611-2/01-SELF-SERVICE; SERVIÇO DE ALIMENTAÇÃO (Secundário)";70;"(""Nenhuma das Opções"")"
"DALLA ROSA E SPESSATTO LTDA";"RESTAURANTE E CHURRASCARIA DI FRATELLI";"04.322.131/0001-46";"Sociedade Empresária";"02/03/2001";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";89500000;"SC";"Caçador";"Caçador";"RUA FERNANDO MACHADO, 111";"(49) 3567-3974";"";"";"";"";"24.036950.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"DALLAS COMERCIO DE ALIMENTOS LTDA";"SUBWAY";"09.512.090/0001-74";"Sociedade Empresária";"30/04/2008";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";71605001;"DF";"Lago Sul";"Setor de Habitações Individuais Sul";"SHIS CC QI 05 BLOCO A LOJA 09";"(61) 3364-0554";"";"subwaylago@gmail.com";"";"";"07.037257.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";23;"(""Nenhuma das Opções"")"
"DALVIT, CHIEZA & CIA. LTDA.";"CHURRASCARIA DO HORÁCIO";"89.679.187/0001-05";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";99400000;"RS";"Espumoso";"Espumoso";"AV. OSVALDO JULIO WERLANG, 137";"(54) 3383-1407";"";"";"";"";"23.038535.15.0001-9";"5611-2/01-CHURRASCARIA; SERVIÇO DE ALIMENTAÇÃO (Secundário), 5510-8/01-HOTEL (Secundário)";;"("""")"
"DAMUR S. DOS SANTOS";"PIZZA DA MAMA";"07.838.751/0001-20";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69900120;"AC";"Rio Branco";"Centro";"RUA RUI BARBOSA 180-CENTRO";"(68) 3224-9374";"(68) 3222-7005";"damur_santiago@hotmail.com";"";"";"01.041153.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";200;"(Espanhol)"
"DANGAB COMERCIAL DE ALIMENTOS LTDA ME";"TODA HORA";"08.342.716/0001-89";"Sociedade Empresária";"02/10/2006";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";70305000;"DF";"Brasília";"Asa Sul";"SCS QUADRA 5 BLOCO 3 LOJA 3 SUBSOLO";"(61) 3202-5025";"(61) 3202-5025";"";"";"";"07.034644.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"DANIEL AUGUSTO DE CAMARGO LEONY ME";"SOTTILE GASTRONOMIA";"03.345.573/0001-45";"Sociedade Empresária";"10/08/1999";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";80420000;"PR";"Curitiba";"Centro";"RUA COMENDADOR ARAUJO, 268 LOJA CA 19";"(41) 3387-1077";"";"";"";"WWW.SOTTILEGASTRONOMIA.COM.BR";"18.036560.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Inglês)"
"DANIEL CANDIDO ADVENTE";"ADVENTE LANCHES";"07.244.535/0001-57";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";85806330;"PR";"Cascavel";"Santa Cruz";"RUA AIMORES, 221";"(45) 3037-6221";"";"cotriguacu@cotriguacu.com.br";"";"";"18.039038.15.0001-6";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"("""")"
"DARCI ANTONIO SCHEMBERG";"KREKA´S SORVETERIA E PIZZARIA ";"04.818.098/0001-40";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78635000;"MT";"Água Boa";"Água Boa";"AV JULIO JOSE DE CAMPOS 250";"(06) 3468-1387";"";"";"";"";"13.041768.15.0001-1";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"("""")"
"DARCI MERKI CAFE - ME";"CAFE PAULISTANIA";"09.480.235/0001-00";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";11045530;"SP";"Santos";"Boqueirão";"RUA PINDORAMA, 37 - LJ 06";"(13) 3326-4533";"";"";"";"";"26.043750.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"DARLAN R. FRIZZO - ME";"FRIZZO'S GRILL RESTAURANTE";"03.669.492/0001-09";"Sociedade Empresária";"08/10/1989";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";85601580;"PR";"Francisco Beltrão";"Nossa Senhora Aparecida";"RUA ANTONINA, 485";"(46) 3524-3355";"(46) 3225-3377";"";"";"WWW.LUZHOTELPATOBRANCO.COM.BR";"18.040170.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Italiano)"
"DAVI ALVES - ME";"RESTAURANTE PANTANAL";"73.890.113/0001-83";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79290000;"MS";"Bonito";"Bonito";"RUA CEL PILAD DE REBUA, 1.808";"(67) 3255-2763";"(67) 3255-2763";"pantanalcarnesexoticas@hotmail.com";"";"";"12.038485.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";150;"(""Nenhuma das Opções"")"
"DAVI S. ROCHA & IRMÃO LTDA";"SACCOL LANCHES";"93.084.556/0001-94";"Sociedade Empresária";"08/08/1989";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";97015511;"RS";"Santa Maria";"Centro";"AV. PRESIDENTE VARGAS - 1343 / CENTRO";"(55) 3222-0314";"(55) 3027-1046";"";"";"";"23.036935.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"DC OLIVEIRA COMÉRCIO DE LANCHES LTDA ME";"SORVETERIA E LANCHONETE O NIVALDO";"23.494.685/0001-75";"Sociedade Empresária";"15/09/1988";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";63900000;"CE";"Quixadá";"Quixadá";"RUA TABELIÃO ENEAS, 465";"(88) 3414-3089";"";"";"";"";"06.037842.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"DD LANCHES LTDA - ME";"DD LANCHES";"00.990.841/0001-93";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";60025130;"CE";"Fortaleza";"Centro";"RUA FLORIANO PEIXOTO 495";"(85) 3231-2230";"";"";"";"";"06.038647.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5611-2/01-RESTAURANTE COM SERVIÇO COMPLETO
 (Primário)";;"("""")"
"DE PAULA E EFGEM LTDA - ME ";"BAR RESTAURANTE CASARÃO";"27.758.523/0001-58";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";29255000;"ES";"Marechal Floriano";"Marechal Floriano";"ROD BR 262 KM 48 SN";"(27) 3288-1421";"(27) 3288-1421";"edsoneffgen@hotmail.com";"";"";"08.038532.15.0001-4";"5611-2/01-ROTISSERIA; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"("""")"
